"Data Source","World Development Indicators",

"Last Updated Date","2022-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Bahrain","BHR","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19143294359.5147","21293086082.5424","22717593193.6643","25641348952.8748","25577245199.8358","26582428773.7152","27674968221.8626","28530954929.9429","29897588466.6886","31183184459.9341","32835915082.0051","33653840687.5828","34780756594.7147","36970706753.4516","39551617223.3436","42228865351.1674","44959806124.9449","48688754662.264","51729372637.1175","53043239697.4314","55342292396.8801","56440015074.3357","58544160034.475","61715403401.7232","64400264665.9136","66000855034.9501","68349250016.7145","71282082008.2729","72805167214.6003","74364200162.5682","70582646570.2049","",
"Bahamas, The","BHS","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9773562236.68066","9364852898.46645","9006592774.50484","9034315633.70943","9318798609.85743","9726845698.79369","10137661986.3046","10834701207.7718","10346749970.142","11608796689.6906","12090472834.2439","12407867042.054","12743459019.786","12582314629.5811","12693383777.0354","13124357169.5305","13454678069.0782","13649331456.3117","13332188252.2246","12775461994.4762","12971997909.6327","13051566089.8429","13454452165.7274","12972261463.5419","13269085916.2472","13480029445.1073","13492316077.3511","13711567829.4446","14090972507.0368","14189955825.2257","12130357325.8382","",
"Bosnia and Herzegovina","BIH","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6508746562.04775","7862565686.95966","14856920624.2063","19966152344.0681","23080871447.9492","25296635041.5003","28525869261.5964","29217140408.786","30686015841.8178","31872686665.1178","33888718931.7751","35209422627.0507","37115662025.3353","39289573242.8924","41428431224.4123","40183732265.7292","40531590483.5695","40920495652.9452","40584196094.2389","41537866530.3841","42017151656.9402","43315130443.5314","44679473417.7481","46096453819.6274","47820493963.3785","49174293392.0565","47602215753.5479","",
"Belarus","BLR","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90636010185.6982","89548382078.8226","80951736149.1807","74799402710.5413","66047869678.0612","59178890906.9179","60835902604.4492","67771198789.7528","73463973673.54","75961748163.7156","80367532170.3519","84165143985.127","88411500624.1222","94638492857.1568","105474357168.12","115388948348.906","126927837197.965","137843639493.308","151903689949.072","152207490204.709","164077036415.003","172902260196.085","175819355671.141","177583651637.882","180649428903.241","173731331560.254","169342102526.663","173630155305.786","179098111978.7","181605485546.401","179971036176.035","",
"Belize","BLZ","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","910570079.93508","1014958165.53308","1137345114.42663","1208722398.02896","1210637274.65298","1218439673.60702","1235852546.56966","1279659235.48949","1327525070.55999","1444066570.46907","1632077934.95529","1708485876.50534","1789338391.35753","1956348291.30366","2050056223.71677","2089845839.83148","2190690941.58835","2201885687.91371","2278727210.4909","2283682548.32353","2352273576.1057","2397396111.35918","2455455366.74575","2487231040.30191","2587657860.43002","2655916714.73585","2655034057.13707","2703187932.80397","2781744459.09559","2830780992.36127","2434173511.30844","",
"Bermuda","BMU","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3913226388.83793","3774918015.8216","3772662947.20449","3886166044.31753","3909468015.37137","4081451312.28006","4187588450.80187","4380217554.82478","4551046043.59044","4704991866.95012","5143363318.31215","5514839418.43801","5433341640.0347","5618656986.12881","5749081029.13362","5845332495.22823","6169389918.25616","6375764630.20097","6256795678.60925","5904744699.40928","5756956126.27891","5541487978.00699","5247495465.80897","5232817772.57041","5039147649.75544","5078227736.38443","5044853303.55627","5227044136.51153","5204421421.5194","5228356032.22943","4896664930.00355","",
"Bolivia","BOL","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31491964099.6354","33150497040.4593","33696318957.3832","35134913778.3846","36774755221.3847","38495178513.3927","40174085309.1978","42164393356.0052","44284989258.7436","44474037261.9355","45589360527.6762","46356994608.3348","47509227770.4984","48797364802.6674","50833822455.3281","53081406754.7481","55627726704.8012","58166789068.0384","61743172462.3164","63815891539.1866","66449395947.1298","69907483850.4261","73488337955.1974","78482613663.6339","82768211466.3353","86788418466.2342","90489007925.7654","94285208488.0407","98267460721.3149","100445761200.531","91576909124.1196","",
"Brazil","BRA","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1567624706702.9","1583805565664.73","1575188522239.29","1652761673948.21","1749495672156.71","1823390758978.2","1863666981953.67","1926935605670.19","1933450534524.93","1942497875909.14","2027733700647.98","2055917098445.27","2118693742854.47","2142864415468.1","2266292648014.92","2338862331519.44","2431527793013.17","2579118383830.37","2710503715141.08","2707093576125.91","2910889693644.53","3026580765445.98","3084726708281.22","3177417275728.11","3193430052481.58","3080198578684.53","2979293832697.14","3018705988834.88","3072549644181.22","3115908020202.83","2989431809530.72","",
"Barbados","BRB","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3648937305.7672","3506632150.62414","3307016386.92518","3333243275.58636","3400267546.60937","3468748867.00244","3606682874.0353","3777643333.45631","3918491439.22931","3931604883.5599","4106450807.96775","4009314183.29672","4040883586.3148","4128792231.64208","4187074206.4447","4352692151.50881","4609618523.76368","4711126296.5449","4744152748.93305","4503253919.7489","4400289097.59761","4370662427.07295","4350749419.01538","4289553345.47264","4284210831.11573","4389118385.76044","4497911405.39199","4519281462.81962","4493054574.15844","4488735151.30088","3636795227.68332","",
"Brunei Darussalam","BRN","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18428919884.5686","19008682897.7249","19913226441.082","19973876727.188","20602134525.5171","21524843836.6747","22144397236.8854","21818615159.9052","21696756263.0502","22358975358.8289","22996076889.8896","23627098557.2186","24541962723.8529","25254650394.4204","25382014206.0119","25480371340.6547","26600926645.0082","26642046839.3565","26125267156.9915","25664277532.74","26331283314.8852","27317473701.2105","27566838984.6099","26980760126.4509","26303987537.3725","26200774964.8048","25551541319.6116","25891019749.5614","25904544646.2882","26906819938.6988","27211828479.0468","",
